task_description,priority
Browse local hiking trail websites for weekend,Low
Read book club selection slowly this week,Low
Watch animated short films on YouTube,Low
Browse craft project ideas for the kids,Low
Read self help book chapter before bed,Low
Watch educational video about quantum physics,Low
Browse vintage record collections online,Low
Read weekly horoscope for fun,Low
Watch live stream of nature cam,Low
Browse fan theories online about new movie,Low
Read mystery novel for entertainment,Low
Watch makeup tutorial video casually,Low
Browse plant care websites for new houseplant,Low
Read fantasy book series next chapter,Low
